Tm,TeamAbbrev,team_name
Arizona Cardinals,ARI,ARZ
Atlanta Falcons,ATL,ATL
Baltimore Ravens,BAL,BLT
Buffalo Bills,BUF,BUF
Carolina Panthers,CAR,CAR
Chicago Bears,CHI,CHI
Cincinnati Bengals,CIN,CIN
Cleveland Browns,CLE,CLV
Dallas Cowboys,DAL,DAL
Denver Broncos,DEN,DEN
Detroit Lions,DET,DET
Green Bay Packers,GB,GB
Houston Texans,HOU,HST
Indianapolis Colts,IND,IND
Jacksonville Jaguars,JAX,JAX
Kansas City Chiefs,KC,KC
Las Vegas Raiders,LV,LV
Los Angeles Chargers,LAC,LAC
Los Angeles Rams,LAR,LA
Miami Dolphins,MIA,MIA
Minnesota Vikings,MIN,MIN
New England Patriots,NE,NE
New Orleans Saints,NO,NO
New York Giants,NYG,NYG
New York Jets,NYJ,NYJ
Philadelphia Eagles,PHI,PHI
Pittsburgh Steelers,PIT,PIT
San Francisco 49ers,SF,SF
Seattle Seahawks,SEA,SEA
Tampa Bay Buccaneers,TB,TB
Tennessee Titans,TEN,TEN
Washington Football Team,WAS,WAS
