"Player","Finals Count","Alive Team Rates"
"Christian McCaffrey","100","42.55%"
"Amari Cooper","75","31.91%"
"Amon-Ra St. Brown","71","30.21%"
"Jared Goff","70","29.79%"
"CeeDee Lamb","69","29.36%"
"George Pickens","68","28.94%"
"Jahmyr Gibbs","67","28.51%"
"Rachaad White","65","27.66%"
"Mike Evans","62","26.38%"
"Sam LaPorta","60","25.53%"
"George Kittle","46","19.57%"
"Brock Purdy","45","19.15%"
"Dak Prescott","40","17.02%"
"Breece Hall","40","17.02%"
"James Conner","38","16.17%"
"Raheem Mostert","38","16.17%"
"Puka Nacua","37","15.74%"
"Gus Edwards","36","15.32%"
"Chris Godwin","35","14.89%"
"David Njoku","35","14.89%"
"Jordan Addison","34","14.47%"
"DJ Chark Jr.","34","14.47%"
"Dalton Schultz","34","14.47%"
"Jordan Love","34","14.47%"
"Alvin Kamara","34","14.47%"
"Derek Carr","33","14.04%"
"David Montgomery","32","13.62%"
"De'Von Achane","31","13.19%"
"James Cook","30","12.77%"
"Chris Olave","30","12.77%"
"Curtis Samuel","30","12.77%"
"Terry McLaurin","30","12.77%"
"Devin Singletary","30","12.77%"
"Brian Robinson Jr.","30","12.77%"
"Romeo Doubs","29","12.34%"
"Ty Chandler","28","11.91%"
"Adam Thielen","28","11.91%"
"Jakobi Meyers","27","11.49%"
"Gabe Davis","26","11.06%"
"Khalil Herbert","26","11.06%"
"Rashee Rice","26","11.06%"
"Cole Kmet","26","11.06%"
"Tee Higgins","26","11.06%"
"Taysom Hill","25","10.64%"
"Sam Howell","25","10.64%"
"Tyler Lockett","25","10.64%"
"Chig Okonkwo","25","10.64%"
"Juwan Johnson","25","10.64%"
"Josh Allen","25","10.64%"
"Zay Flowers","25","10.64%"
"Rashid Shaheed","25","10.64%"
"Nico Collins","25","10.64%"
"C.J. Stroud","24","10.21%"
"Brandon Aiyuk","24","10.21%"
"DeVonta Smith","24","10.21%"
"Jake Ferguson","24","10.21%"
"Kirk Cousins","23","9.79%"
"Geno Smith","23","9.79%"
"Jayden Reed","23","9.79%"
"K.J. Osborn","23","9.79%"
"Daniel Jones","22","9.36%"
"Deebo Samuel","22","9.36%"
"Jerome Ford","22","9.36%"
"Khalil Shakir","22","9.36%"
"Evan Engram","21","8.94%"
"Joe Mixon","21","8.94%"
"T.J. Hockenson","21","8.94%"
"Pat Freiermuth","21","8.94%"
"DJ Moore","20","8.51%"
"Brandin Cooks","20","8.51%"
"Odell Beckham Jr.","20","8.51%"
"Trey McBride","20","8.51%"
"Michael Gallup","20","8.51%"
"Tyler Allgeier","20","8.51%"
"Tyjae Spears","20","8.51%"
"Kenny Pickett","20","8.51%"
"Kenneth Gainwell","19","8.09%"
"Calvin Ridley","19","8.09%"
"Irv Smith Jr.","19","8.09%"
"D'Andre Swift","19","8.09%"
"Antonio Gibson","19","8.09%"
"Lamar Jackson","19","8.09%"
"Darius Slayton","19","8.09%"
"Chase Brown","19","8.09%"
"Drake London","19","8.09%"
"Deshaun Watson","18","7.66%"
"Chase Claypool","18","7.66%"
"Jaylen Warren","18","7.66%"
"Diontae Johnson","18","7.66%"
"Chuba Hubbard","18","7.66%"
"Javonte Williams","18","7.66%"
"Davante Adams","18","7.66%"
"Jalen Hurts","18","7.66%"
"Marvin Jones Jr.","18","7.66%"
"Aaron Jones","18","7.66%"
"Isaiah Hodgins","17","7.23%"
"Robert Woods","17","7.23%"
"Luke Musgrave","17","7.23%"
"Jaxon Smith-Njigba","17","7.23%"
"Marquise Brown","17","7.23%"
"DK Metcalf","17","7.23%"
"Hayden Hurst","16","6.81%"
"Zay Jones","16","6.81%"
"Dallas Goedert","16","6.81%"
"Kenneth Walker III","16","6.81%"
"AJ Dillon","16","6.81%"
"Josh Downs","15","6.38%"
"Dawson Knox","15","6.38%"
"Justin Fields","15","6.38%"
"Keenan Allen","15","6.38%"
"Matthew Stafford","15","6.38%"
"Christian Watson","15","6.38%"
"Rashaad Penny","15","6.38%"
"Isaiah Likely","15","6.38%"
"Jahan Dotson","15","6.38%"
"JuJu Smith-Schuster","15","6.38%"
"Saquon Barkley","14","5.96%"
"Michael Mayer","14","5.96%"
"Elijah Mitchell","14","5.96%"
"Isiah Pacheco","14","5.96%"
"Wan'Dale Robinson","14","5.96%"
"Courtland Sutton","14","5.96%"
"Samaje Perine","14","5.96%"
"Jameson Williams","14","5.96%"
"Roschon Johnson","14","5.96%"
"Derrick Henry","14","5.96%"
"Ezekiel Elliott","13","5.53%"
"Kareem Hunt","13","5.53%"
"Kyler Murray","13","5.53%"
"Pierre Strong Jr.","13","5.53%"
"Jaylen Waddle","13","5.53%"
"Jalin Hyatt","13","5.53%"
"Jerick McKinnon","13","5.53%"
"Tyler Conklin","13","5.53%"
"A.J. Brown","12","5.11%"
"Michael Pittman Jr.","12","5.11%"
"Hunter Renfrow","12","5.11%"
"Jonathan Mingo","12","5.11%"
"Michael Thomas","12","5.11%"
"D'Onta Foreman","12","5.11%"
"Anthony Richardson","12","5.11%"
"Leonard Fournette","12","5.11%"
"Garrett Wilson","12","5.11%"
"Zach Charbonnet","11","4.68%"
"J.K. Dobbins","11","4.68%"
"Baker Mayfield","11","4.68%"
"Dalton Kincaid","11","4.68%"
"Bryce Young","11","4.68%"
"Darnell Mooney","11","4.68%"
"Alec Pierce","11","4.68%"
"Dalvin Cook","11","4.68%"
"Russell Wilson","11","4.68%"
"Tyquan Thornton","11","4.68%"
"Travis Etienne Jr.","10","4.26%"
"Tank Bigsby","10","4.26%"
"Christian Kirk","10","4.26%"
"Bijan Robinson","10","4.26%"
"Trevor Lawrence","10","4.26%"
"Alexander Mattison","10","4.26%"
"Mike Gesicki","10","4.26%"
"Treylon Burks","10","4.26%"
"Rondale Moore","10","4.26%"
"Tyler Boyd","10","4.26%"
"Tony Pollard","10","4.26%"
"Parris Campbell","10","4.26%"
"Donovan Peoples-Jones","10","4.26%"
"Damien Harris","10","4.26%"
"Justin Herbert","9","3.83%"
"Jerry Jeudy","9","3.83%"
"Trey Lance","9","3.83%"
"Jamaal Williams","9","3.83%"
"Tank Dell","9","3.83%"
"Kendre Miller","9","3.83%"
"Van Jefferson","9","3.83%"
"Jeff Wilson Jr.","9","3.83%"
"Hunter Henry","9","3.83%"
"Darren Waller","8","3.40%"
"Tyler Higbee","8","3.40%"
"Noah Fant","8","3.40%"
"Miles Sanders","8","3.40%"
"Clyde Edwards-Helaire","8","3.40%"
"Tua Tagovailoa","8","3.40%"
"John Metchie III","8","3.40%"
"DeAndre Hopkins","8","3.40%"
"Aaron Rodgers","8","3.40%"
"Quentin Johnston","8","3.40%"
"Mac Jones","8","3.40%"
"Greg Dulcich","8","3.40%"
"Kadarius Toney","7","2.98%"
"Gerald Everett","7","2.98%"
"Marquez Valdes-Scantling","7","2.98%"
"Cam Akers","7","2.98%"
"Desmond Ridder","7","2.98%"
"Nick Chubb","7","2.98%"
"Skyy Moore","7","2.98%"
"Zamir White","6","2.55%"
"Stefon Diggs","6","2.55%"
"Joe Burrow","6","2.55%"
"Elijah Moore","6","2.55%"
"Mecole Hardman Jr.","6","2.55%"
"Austin Ekeler","6","2.55%"
"DeWayne McBride","6","2.55%"
"Mike Williams","6","2.55%"
"Joshua Palmer","6","2.55%"
"Najee Harris","6","2.55%"
"Justyn Ross","5","2.13%"
"Justin Jefferson","5","2.13%"
"Tim Patrick","5","2.13%"
"Kyle Pitts","5","2.13%"
"Cordarrelle Patterson","5","2.13%"
"Tyreek Hill","5","2.13%"
"Jonathan Taylor","5","2.13%"
"Marvin Mims Jr.","4","1.70%"
"Josh Jacobs","4","1.70%"
"Patrick Mahomes","4","1.70%"
"Allen Lazard","4","1.70%"
"Travis Kelce","4","1.70%"
"Dameon Pierce","4","1.70%"
"Cade Otton","4","1.70%"
"Cooper Kupp","4","1.70%"
"Jimmy Garoppolo","4","1.70%"
"Rashod Bateman","4","1.70%"
"Josh Reynolds","3","1.28%"
"Allen Robinson II","3","1.28%"
